D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\2.5ppm-cal7-2.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 17:25:28 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
167.404,33.33,362.5,116.67,525.01,600.01,1150.04,12.5,0,100,3417.02,40,3116.97,950.03,666.68,200,266.67,16.67,1000.03,1383.4
168.722,33.33,250,33.33,762.52,462.51,833.35,12.5,25,0,3400.35,50,3617.07,1350.06,716.68,150,283.34,0,866.69,933.36
170.04,16.67,175,83.33,675.01,400,666.68,12.5,37.5,100,3016.94,60,3900.47,733.35,633.35,316.67,166.67,16.67,1233.38,1833.45
171.358,83.33,350,116.67,562.51,550.01,566.68,0,12.5,50,3150.3,60,3050.29,966.7,1016.7,166.67,150,16.67,1133.38,1233.38
172.676,16.67,325,50,412.51,337.5,866.69,0,0,33.33,4283.89,100,2933.6,1000.03,800.02,166.67,150,16.67,1350.06,1400.07
173.994,33.33,337.5,116.67,500.01,462.51,966.69,25,0,66.67,3683.75,40,3767.1,816.69,483.34,216.67,133.33,33.33,1166.71,1366.73
175.312,16.67,275,100,562.51,387.5,900.02,37.5,12.5,100,3683.75,30,3433.7,1116.71,733.35,166.67,150,0,1350.06,1316.72
176.63,16.67,212.5,83.33,687.51,275,566.68,0,0,33.33,3783.77,80,3383.69,883.36,566.68,116.67,266.67,0,950.03,1400.07
177.948,16.67,312.5,33.33,637.51,462.51,1100.04,25,0,16.67,4800.7,50,3683.75,1100.04,683.35,133.33,116.67,0,1066.7,1483.41
179.266,33.33,312.5,100,675.01,487.51,800.02,12.5,0,50,3733.76,80,3450.37,800.02,500.01,83.33,133.33,0,1433.4,1233.38
